,content
75,　　廣東省交通運輸廳在該送審稿說明中稱，一些互聯網企業陸續推出網絡預約出租汽車服務，對於滿足社會公眾多樣化、差異性出行需求發揮了積極作用，但同時也暴露出一些突出問題，特別是部分企業通過補貼等搶佔市場，接入非營運小客車從事運輸活動，衝擊了正常市場秩序。
76,　　截至2015年底，廣東共有出租汽車70281輛，出租汽車經營企業416戶，駕駛員132214人，2015年完成客運量1.9億人次。(完)
77,　　對於共享汽車備受追捧的原因，業內人士分析，一方面，因為大中城市的限行政策，以及買車、養車成本越來越高，城市停車位飽和等問題，激發了公眾對共享汽車的需求。另一方面，投資者們則認為在限行、限購的大背景下，新能源汽車更適合做分時租賃服務。
78,　　去年共享單車遍地開花，北京的大街小巷到處可見鮮豔亮麗的摩拜、OfO。相比之下，同樣是綠色出行的智能服務、汽車版的摩拜——共享汽車，數量不多，知曉的市民也不多。但是一度用車創始人、CEO王楊分析，共享汽車需求量遠遠大於供給量，市場潛力巨大。他預測，未來三到五年將是共享汽車爆發時代。
79,　　體驗
80,　　手不快根本搶不到車
81,　　用手機掃碼開門，車鑰匙就在車裡，開車出發，到達目的地附近的還車網點，所需費用比出租車便宜50%—60%。這就是共享汽車的便利和便宜。北京青年報記者下載了“Gofun出行”APP，根據GPS定位查找最近的一個Gofun租車點是在東城區北新橋路口西南側，距離1.6公里。當時顯示該租車點有一輛奇瑞電動車待租，但轉眼可用車數量就變成了“0”。隨後北青報記者啟動“有車提醒服務”，可是四、五個小時過去了，始終沒有“有車提示”。步行25分鐘，北青報記者來到北新橋租車點，希望能一睹Gofun汽車真容，但被現場看車保安告知，車早被人租走了，“我們這個點兒只有一個停車位，所以只有一輛Gofun汽車，好多人搶呢！每天老是被秒殺，手不快你根本就搶不到！”
82,　　據瞭解，要享受共享汽車首先要下載客戶端，然後註冊會員，上傳本人身份證和駕照實物照片，經審核通過並交納押金後，即可使用分時租車服務。據調查，各家共享汽車公司押金標準不一，比如一度用車不需要押金、有的需要交納1800元押金，而Gofun汽車的會員押金為699元。這些押金主要的用途是用於車輛損壞、違章以及發生行政處罰所產生費用後，用戶不按時承擔相應責任，Gofun出行有權從押金中扣除相應費用。
83,　　在租車費用方面，據客服介紹，計費包括實際里程費+實際用車時間(分鐘)，即1元錢1公里+1毛錢1分鐘。以50公里路程為例，如果用半個小時跑下來，租車費用為53元；如果用1個小時跑完，租車費用為56元。對於停車費問題是這樣的，從網點提車不用繳納停車費用，但是租車期間發生的停車費用需要會員自付。另外，如果會員還車時沒有將車停進指定車位，所發生的停車費用需由會員承擔。
84,　　目前北京市場擁有Gofun出行、一度用車、綠狗租車、宜維租車等分時租賃公司。
85,　　分析
86,　　共享汽車緣何如此搶手
87,　　我國從2011年開始有共享汽車服務，但都不是做互聯網智能共享，而是與傳統租車類似。直到2015年下半年開始，越來越多的媒體、投資人關注智能共享租車領域。更為重要的是，公眾也對共享汽車這種服務模式非常感興趣。有業內人士稱，在太原就曾經出現上萬名一度用車註冊會員搶租10輛共享汽車的盛況。
88,　　對於共享汽車備受追捧的原因，一度用車創始人、CEO王楊分析，一方面，因為大中城市的限行政策，以及買車、養車成本越來越高，城市停車位飽和等問題，激發了公眾對共享汽車的需求。另一方面，投資者們則認為在限行、限購的大背景下，新能源汽車更適合做分時租賃服務。還有一個原因就是目前共享汽車數量太少，一直處於供不應求的狀態。以北京為例，一度用車曾做過調查，其市場需求量至少1萬臺共享汽車，但是目前只有幾百臺車，“到今年年底能達到1000臺車就不錯了。”王楊說。
89,　　因此，網點設置、車輛配備數量十分考驗運營公司管理能力，網點配備汽車數太少，總是租不到車，會打擊用戶共享汽車的熱情，但是汽車配置多了出現閒置，又會增加運營成本。一度用車在2015年7月北京上線，車型以北汽為主，目前有300多臺車和200多個網點，平均下來每個網點只有1—2臺汽車供用戶租賃，上下班高峰時段格外搶手。
90,　　關注
91,　　共享汽車為何還沒有火起來
92,　　按理說，共享汽車也發展了好幾年了，但為何沒能像共享單車那樣迅速火爆起來呢？業內人士認為，原因有三：成本高、受指標限制、政策限制。據瞭解，摩拜單車的成本1600元左右一輛，OFO成本可能就更低，因此它可以大批量的、不受指標限制地發展。而共享汽車就不一樣了，其最核心的難題就是受指標限制。要能達到讓用戶就近取車、到達目的地或者目的地周邊就近還車，就需要鋪一張很大的共享汽車服務網絡，設置很多服務網點、配備很多車。因為只有租車方便，用戶才願意去使用這個服務。但據知情者透露，北京去年一共才發了2000個新能源汽車運營指標。傳統燃油車運營指標一個也沒發，但是租賃市場需求遠遠不止2000臺新能源汽車。王楊表示，廣州不限指標，因此市場發展十分理想，因此一度用車計劃今年要在廣州大批量上車。
93,　　共享汽車發展速度比不上共享單車的另一個原因就是，汽車租賃與自行車租賃市場還不太一樣，在很大程度上會受到政策的限制。據瞭解，去年上半年都在檢查新能源汽車騙補問題，各地政策沒出臺，租賃公司也不敢有大的動作，因此一定程度上限制了共享汽車的發展。
94,　　在共享汽車成本方面，主要包括新能源汽車價格成本、停車位成本、電費成本、修車救援人工成本四大部分。首先負擔最重的就是購買汽車，據測算，汽車價格佔整個運營成本的40%左右。其次是停車位成本，由於共享汽車服務定位是一般性商務出行，因此網點大都選擇在商圈、寫字樓的地面、地下停車場租賃車位。在這個環節就會遇到一個問題，停車場物業管理公司租金開價很高。一般來講，運營公司租車位的價格要比非運營租車位價格高出近30%。另外，物業公司還要求與租車運營公司分成服務費。
95,　　央廣網北京2月5日消息（記者馬喆）據中國之聲《全國新聞聯播》報道，工信部近日向7家新能源“騙補”車企下發行政處罰決定書。這是繼去年12月處罰首批4家“騙補”車企後，工信部開出的第二批“騙補罰單”。兩批11家車企的處罰相繼落地，意味著打擊新能源車“騙補”，進入處罰執行期。
96,　　七家收到工信部行政處罰決定書的企業分別是金華青年汽車、上汽唐山客車、重慶力帆乘用車、鄭州日產汽車、上海申沃客車、南京特種汽車制配廠和重慶恆通客車。
97,　　工信部的處罰決定是撤銷這些汽車製造商生產騙補產品的公告，這意味著7家公司相關騙補產品不再具備生產資質。同時暫停7家公司申報新能源汽車推廣應用推薦車型資質，責成這些公司進行為期2個月的整改，整改完成後，工信部將對整改情況進行驗收。
98,　　和去年被處罰的“有牌無車”的4家企業相比，此次落實處罰的7家企業，騙補原因更為複雜、時間更長。在工信部公佈的處罰決定書裡，7家車企被罰的原因各不相同。其中，金華青年汽車交付的巴士車輛實際安裝電池容量小於公告容量。上汽唐山客車有30輛車沒有安裝電池和電機控制器，和《產品公告》不符。此次被處罰的企業，除了存在實際新能源車產品和公告指標不一致的外，上海申沃客車還有79輛車在2015年尚未安裝電池，但已開具發票並登記上牌。
99,　　工信部部長苗圩在今年中國電動汽車百人會上強調，未來將開展新能源汽車推廣應用專項督查，嚴厲打擊騙補行為。此前他曾表示，對於新能源騙補絕不姑息。“不管有多少量，發現一起，查處一起。這些企業跑不了，國家財政補貼沒有全部到位，沒補的錢一定扣下來，已經補的錢一定要扣回，並且依法處置，直至取消企業資質。”
100,　　去年多部門對我國新能源汽車推廣應用情況和財政資金使用管理情況進行專項核查。檢查涉及90家主要新能源汽車生產商，包括2013年-2015年已獲得和已申報中央財政補助資金的新能源汽車40.1萬輛。
101,"　　,中新網,2月9日電 8日，隨著一輛天鵝絨棕的Teramont途昂駛下生產線，上汽大眾迎來了第1600萬輛汽車下線，再度刷新行業紀錄。"
102,　　從1500萬到1600萬，這不僅僅是數字上的超越，更是企業在提升綜合實力方面的積極探索與實踐。在產能佈局上，上汽大眾通過對現有生產基地進行升級改造，提升生產效率，僅用5個多月的時間就實現了百萬級產量的增長。
103,　　在產品方面，上汽大眾始終堅持用戶導向，推出了一系列適應市場需求的產品。作為第1600萬輛下線的車輛，Teramont途昂是上汽大眾首款全尺寸大型SUV，自去年廣州車展亮相以來，就受到了消費者和媒體的高度關注。Teramont途昂的投產不僅進一步豐富了上汽大眾的SUV產品序列，同時，它還與PHIDEON輝昂一起，構建企業高端產品陣營，為消費者提供更高品質的駕乘體驗。
104,　　此外，上汽大眾一直致力於提升用戶滿意度，用可靠的產品和貼心的服務贏得了消費者的信賴。在2016年中國汽車用戶滿意度測評(CACSI)中，大眾品牌Polo、桑塔納、朗行、途觀和斯柯達品牌明銳、速派分別位列各細分市場用戶滿意度第一。
105,　　2016年，上汽大眾成為國內首家年銷量突破200萬輛的乘用車企業；新春剛過，上汽大眾累計產量率先突破1600萬輛。站在新的起點，上汽大眾將繼續以不斷超越的進取之心，為消費者提供富有情感、高價值、操作簡便的產品，用領先的移動在線服務和生態系統滿足用戶不斷升級的消費需求。
106,"　　,中新網,2月9日電 俗話說“不出正月都是年”，農曆新年的喜氣依舊濃烈。2月8日，一汽-大眾汽車主題郵局開業一週年紀念活動在長春隆重舉行，中國郵政集團公司吉林省分公司副總經理王春嶺，中國郵政集團公司長春市分公司總經理劉滿堂，一汽-大眾汽車有限公司黨委書記、工會主席範希軍以及一汽-大眾汽車有限公司總經理辦公室主任孫惠斌出席活動，共同見證了這一難忘時刻。"
107,　　在活動現場，眾多精美汽車主題郵品吸引了大批集郵愛好者的到來，不少集郵愛好者更是早早的來到了活動現場。主辦方設置了沙盤講解、歷史牆回顧、有獎互動等多項精彩環節，更增設了掃碼體驗加蓋郵戳明信片打印服務，更好地滿足了現場集郵愛好者的珍藏需求。據介紹，一汽-大眾汽車主題郵局是一汽-大眾“鑑•證高品質”尊享體驗計劃的重要載體，活動當天，工作人員帶領集郵愛好者走進了一汽-大眾長春基地CA3總裝車間，近距離感受高品質汽車背後的故事。現場參觀者紛紛豎起大拇指，一位汽車愛好者表示：“我很欣賞一汽-大眾的“工匠精神”，中國走向汽車強國離不開這樣的汽車文化。”
108,　　據悉，作為國內首家汽車類主題郵局，一汽-大眾汽車主題郵局自開業起就吸引了大量汽車和集郵愛好者前來參觀鑑賞各項郵品，成立一年來，配合一汽-大眾重大活動推出了一系列郵戳、紀念戳加蓋服務及主題文化產品，在為集郵愛好者帶來諸多樂趣的同時也促進推動了汽車文化的發展。
109,　　分析人士表示，一汽-大眾作為我國第一個按經濟規模起步建設的現代化乘用車企業，25年來，見證了中國汽車工業的逐漸發展壯大，一汽-大眾汽車主題郵局推出的各種精美郵品背後蘊含著濃郁的中國汽車文化，廣大集郵愛好者在集郵的同時更加深刻體驗到了一汽-大眾高品質汽車的獨特魅力，傳承及發揚著中國汽車文化。
110,　　站在下一個25年的嶄新起點上，在2017“專注”之年，一汽-大眾將更加專注於品質創新，更加專注做好每一件事，不斷提升用戶滿意度，為消費者帶來更高品質的汽車生活，同時也將努力促進汽車文化的發展。
111,"　　,中新網,2月9日電 商務部9日召開例行新聞發佈會，商務部新聞發言人孫繼文表示，2016年我國全年共銷售汽車2802.8萬輛，同比增長13.7%，連續八年蟬聯全球第一併再創歷史新高。汽車消費頂樑柱作用依然突出，新能源汽車發展迅猛，SUV車型熱度不減。"
112,
113,"　　,資料圖：在江蘇南京舉辦的國際車展上，伴隨著展出的各款汽車，眾多靚眼模特齊亮相，引發參觀者圍觀。,中新社,記者 泱波 攝"
114,　　孫繼文介紹了2016年汽車市場銷售的情況和特點。他表示，2016年我國汽車銷量重現兩位數增長，全年共銷售汽車2802.8萬輛，同比增長13.7%，連續八年蟬聯全球第一併再創歷史新高。2016年，限額以上汽車類消費佔限額以上消費品零售額26.2%，較2015年增加0.9個百分點，汽車消費頂樑柱作用依然突出，且呈現出以下特點：
115,　　一是乘用車銷量快速增長，SUV車型熱度不減。2016年，乘用車銷量同比增長14.9%，增速高於總體1.2個百分點，對汽車銷量增長貢獻率達到94.1%。SUV銷量繼續保持高速增長，同比增長44.6%。
116,　　二是小排量乘用車拉動汽車銷量作用明顯。受1.6升及以下排量乘用車購置稅減半政策帶動，1.6升及以下排量乘用車銷售1760.7萬輛，同比增長21.4%，佔乘用車銷量比重為72.2%，比上年同期提高3.6個百分點，對乘用車銷量增長的貢獻率達97.9%。
117,　　三是新能源汽車發展迅猛。2016年新能源汽車銷售50.7萬輛，同比增長53%。其中純電動汽車銷售40.9萬輛，同比增長65.1%。
118,　　核心閱讀
119,　　隨著越來越多的電動汽車進入家庭，充電樁市場迎來一片火熱。一邊是各路人馬搶灘佈局，一邊是充電樁盈利模式難以突破；一邊是充電樁利用率不高，一邊是新能源車充電難。如何解決車主“充電難”、樁企“盈利難”，成為充電樁行業發展面臨的問題。
120,　　根據規劃，到2020年我國充換電站數量將達到1.2萬個，充電樁達到480萬個；電動汽車與充電設施的比例接近標配的1∶1。
121,　　面對巨大的市場需求，無論是以國家電網、中國普天等為代表的大型國企，還是以特銳德、萬馬股份、奧特迅等為代表的上市公司，以及以華商三優、星星充電等為代表的創業公司，都紛紛在充電市場“跑馬圈地”，佈局直流或交流充電樁。
122,　　然而，一邊是充電市場的火熱，另一邊卻是新能源車主在充電時時常遭遇煩心事：充電排長隊還得交停車費、不同平臺的充電卡無法通用、車樁不匹配充不了電等。與此同時，充電企業也存在充電樁利用率不高、盈利難等問題。
123,　　“飛線”的無奈與隱患
124,　　“如果你在自家小區沒法充電，那最好別買電動車。”在一個電動汽車車主交流群裡，已經買了新能源汽車的“前輩”好心地告誡記者。
125,　　在記者加入的幾個電動汽車群裡，充電都是車主們熱烈討論的話題，“飛線”充電成了許多車主的“好”辦法，省錢又方便。一位車主甚至做了60米的“飛線”，車停得再遠都照樣充。
126,　　這樣充電的隱患無疑是很大的，充電線路破皮或者老化都將帶來觸電或者著火的危險。車主選擇“飛線”充電大多出於無奈——想在小區安個充電樁，不是物業不允許，就是沒有固定車位或者小區電網無法負荷。
127,　　家住南京市郊的劉先生，最近打算購置一輛新能源汽車代步。然而當他詢問物業時卻瞭解到，老舊小區配建充電車位目前比較困難，現在電容量也無法裝充電設備。“一方面難以找到足夠空間，另一方面還要進行地上地下停車位改建，業主們存在不同意見，操作起來不易。而去其他地方充電，又感覺不太便當。”劉先生坦言，儘管新能源汽車具有綠色清潔等優勢，對自己很有吸引力，但想到短時間內可能存在充電難題，還是很有顧慮。
128,　　“目前深圳充電樁建設最大的難點有兩個，一是快速充電樁用地難，而私家車慢速充電樁，則要面對物業、建設單位以及業主之間訴求難以統一的難處。”深圳市發改委相關工作人員介紹。
129,　　看得到樁卻充不上電
130,　　如果只能選擇公共充電樁充電，停車位被佔、排隊時間長等問題則頻頻困擾著新能源汽車的車主們。
131,　　滴滴司機鄭師傅平時開一輛新能源車，只要出門拉活，錢包裡裝著不下三張充電卡，手機裡還裝著多款充電軟件。“就這樣，只要電量降到不足40%，這心裡就開始發慌，滿大街找充電樁。”
132,　　談起找充電樁的經歷，鄭師傅有不少煩惱，雖然在手機APP中能夠找到附近的充電站，甚至可以看到有空閒的充電樁，但是到了之後卻發現，很多不是在維修，就是不能用。“平均得找兩三個充電地址，才能充上一次電。有一回，找了四個充電站都沒充上，車趴在路上，只能叫救援。”
133,　　車輛在充電樁上充不上電、充電電流小、充電槍拔不下來等現象也時有發生。
134,　　“便宜的地方排大隊，不排隊的地方貴得肉疼。”開了半年多比亞迪新能源汽車的小侯，提起充電時的停車費就很糾結，“都說新能源車比汽油車省錢，可仔細算算，快充一兩個小時，慢充少說也需要六七個小時，停車費一般都是每小時五六塊錢，有的一小時需要10塊錢。時間長了，這個支出並不少。”
135,　　充電樁主要分佈的區域是商圈、寫字樓、換乘停車場。根據記者的走訪，利用率不高的充電點停車收費都在每小時五元以上。
136,　　為此，新的補貼政策“在乘用車、專用車中，專門增加了動力電池的技術指標，將新能源客車補貼方式調整為以動力電池為核心、以電池容量和電池性能為標準，更加客觀的反映車輛的生產成本和技術水平”，宋秋玲說。
137,　　工信部部長苗圩表示，未來將加強產能調控，提高技術准入門檻，嚴防低水平重複建設。同時，加快建立新能源汽車積分管理制度，建立新能源汽車市場化發展的長效機制，推動出臺道路法規，建立問題企業懲罰性賠償和市場退出機制等。
138,　　徐和誼認為，新能源汽車行業競爭的本源仍然是技術、產品和服務。近年來，政府角色出現明顯調整，從扶持補貼過渡到監管引導，政策驅動弱化，創新驅動凸顯。因而，自主品牌新能源車應聚焦技術、產品、市場，把一種從來沒有的生產要素和生產條件，用全新的方式組合起來，打造未來汽車產業的核心競爭力。
139,　　最後，建充電樁也是共享汽車公司的一大痛點，很多物業都不允許在停車場建充電樁，越是運營好的網點，建充電樁的難度就越大。因此共享汽車運營公司不得不採取晚上人工調度、集中充電的方式，就是由網點工作人員將電動車開到公司設定的充電站充電。
140,　　展望
141,　　共享汽車市場未來幾年將迎來爆發
142,　　對於未來的發展，一度用車的計劃是，今年在全國租賃電動汽車保有量將達到6000臺，而在去年這個數字只有600臺左右。由此看來，該公司汽車保有量增加10倍，不能不說這將是一個共享汽車市場的小爆發，“2017年將成為共享汽車爆發元年，”王楊預期，“未來三到五年這個市場會迎來更大的爆發。”據他分析，這是因為越來越多的資本進入這一市場尋求利潤增長點，而做了幾年的共享汽車企業都計劃向外擴張。一度用車將北京共享汽車模式在廣州和太原複製，都得到了非常好的效果，說明共享汽車具備複製基礎。
143,　　更讓運營者信心滿滿的是，微利又使得共享汽車可以很快獲得公眾的喜愛。王楊認為，共享汽車行業就是一個微利行業，微利才可以覆蓋更多的用戶，真正解決共享出行的問題。因此一度用車也是按照微利標準為自己的價格定位，首先是免收押金，但會鼓勵會員綁定信用卡，租金會打折，充值也會便宜。一度官方定價是2元一公里、2毛一分鐘，但是折後價為1元一公里+1毛錢一分鐘，比出租車便宜50%—60%。
144,　　一度用車運營一年多以來，王楊對會員的整體素質非常滿意，“比我們想象的要好，沒有面臨比較大的問題，會員們發生的主要問題就是沒能將歸還的汽車停到指定車位，但這種現象發生比例只佔總體訂單的2%左右。”文/本報記者 趙新培
145,"　　,中新網,石家莊2月15日電 (李洋)河北省公安廳交通管理局15日通報，截至2016年底河北省機動車駕駛人保有量超過1900萬人，其中男性駕駛人佔全省駕駛人總量的7成。"
146,　　通報稱，河北省石家莊、保定、唐山3市的駕駛人數量均超200萬人，位居該省前三位，其中石家莊、保定逼近300萬大關。承德、張家口、衡水、秦皇島4市駕駛人數量最低，平均不到100萬人。
147,　　河北近五年駕駛人保有量分別為：2012年13578777人、2013年14334521人、2014年15734177人、2015年17463053人、2016年19014085人。從年度增長量分析，後一年度與前一年度相比，同比增長率分別為12.71%、5.57%、9.76%、10.99%、8.88%。
148,　　按年齡分析，河北省18至25歲駕駛人數量呈直線上升趨勢，年齡增長與學習駕駛技能需求呈正比；25至35歲駕駛人數量達到峰值，佔比41.7%；60歲以上駕駛人已達到530188人，佔比2.8%。
149,　　按性別分析，河北省男性駕駛人為13950083人，佔全省駕駛人總量的73.5%。對比2015年數據，男性駕駛人增加761011人，女性駕駛人增加811640人，女性駕駛人增量較大，男女性駕駛人比例逐步縮小。駕齡不滿1年的駕駛人有1732214人，佔全省機動車駕駛人總量的9.11%。(完)
150,"　　,中新網,2月15日電  14日，上汽名爵ZS正式啟動預售，其頂配版車型——名爵ZS 戰神版預售價為11.98萬元。"
151,　　名爵ZS搭載上汽集團與阿里巴巴合作開發的智能互聯繫統，可實現遠程控制、語音控制等功能，並通過線上服務為消費者提供汽車生活新場景。豪車級的遠程控制功能，用戶可以遠程解鎖和上鎖車門、查詢車輛狀態等，科技感爆棚又極富樂趣；精準的語音控制功能，駕駛者通過語音指令即可開關天窗、調節車內溫度、控制導航、控制雨刮以及播放音樂等。
152,　　值得一提的是，名爵ZS智能互聯繫統自帶柔性自適應地圖，可自動隨車速來調整比例以適應人眼，能有效避免行駛中分岔路出錯的情況；雙盲導航更解決了沒有GPS和手機網絡環境下，車輛無法定位的痛點。與眾不同的還有超級車隊功能，用戶可以實時掌控車隊和隊友的信息，實現車輛之間的互聯，發現更多駕駛樂趣。
153,"　　名爵ZS外觀更驚豔；演繹簡奢內飾的精緻工藝，擁有同級面積最大的雙色軟包覆、1.19㎡同級最大尺寸的全景天窗，名爵ZS空間更出彩；搭載上汽世界級“藍芯”高效動力科技，採用缸內中置直噴渦輪增壓技術的16T發動機，領先同級對手兩個時代,最大功率125馬力，峰值扭矩170牛•米，油耗卻低至5.9L，名爵ZS動力更卓越。"
154,　　作為上汽名爵的全新戰略車型，名爵ZS，打破了“配置多+低價格＝好車”的思維定勢，率先進入中國SUV“品價比”的全新時代。
155,　　名爵ZS的到來，不僅完善了上汽互聯網車型的產品矩陣，也全面更新和定義了互聯網汽車的真正形態，這在推動中國汽車行業步入良性軌道的同時，將為消費者帶來更多的利益與價值。
156,　　央視新聞客戶端消息：今天起，國Ⅰ國Ⅱ車工作日禁止進北京五環。需要特別提示的是，禁行並非強制報廢，只是工作日五環路以內禁止行駛，不過，為鼓勵車主儘快淘汰老舊車，北京市配套出臺了報廢老舊車政府補助方案。
157,　　在規定時間內，報廢國I國Ⅱ機動車的車主，可獲得相應的政府補助。
158,　　根據北京市出臺的報廢高排放老舊車補貼方案，即日起至2017年底，報廢國I國Ⅱ小、微、輕型客貨車的車主，可享受最低3000元最高12000元不等的經濟補助。目前，已補助審核通過的國I國Ⅱ高排放車輛超過了2.6萬輛。
159,　　這兩天，記者在北京市一些老舊機動車淘汰更新補助辦理點看到，有不少車主是來此辦理車輛報廢的。
160,　　辦理報廢車輛市民王會明：其實我這個可以開，但是一看賣也不值錢了。算了吧。報廢了就完了。
161,　　需要特別提醒的是，少量符合一定標準的國Ⅱ車目前是可以免費升國三的，諮詢電話為12369。
162,"　　,中新網,2月15電 據工信部網站消息，中國2016年汽車行業主要經濟指標呈較快增長今日公佈，據公佈的數據顯示，2016年，汽車行業整體經濟運行平穩，主要經濟指標呈較快增長，主營業務收入、利潤總額明顯高於上年。"
163,　　據中國汽車工業協會提供的數據顯示，2016年，汽車行業整體經濟運行平穩，主要經濟指標呈較快增長，主營業務收入、利潤總額明顯高於上年。2016年，汽車行業累計實現主營業務收入83345.25億元，同比增長13.79%，增幅同比上升9.06個百分點；累計實現利潤總額6886.24億元，同比增長10.66%。
164,　　另據中國汽車工業協會提供的數據顯示，2016年，汽車商品進出口總額1564億美元注，同比下降0.62%，其中累計進口金額797.46億美元，同比增長3.13%，累計出口金額766.54億美元，同比下降4.24%。
165,　　進出口貿易呈現逆差，出口逆差為30.92億美元，總體競爭力仍然偏弱。其中汽車整車共出口80.98萬輛，同比增長7.19%；出口金額114.23億美元，同比下降8.15%。出口單價1.41萬美元，低於上年0.24萬美元。在汽車整車出口主要品種中，客車同比增長明顯，表現最為突出，轎車也結束上年下降，呈小幅增長，載貨車依然呈下降趨勢。
166,　　2016年，上述三大類品種共出口66.24萬輛，佔汽車整車出口總量的81.80%，佔比自2014年以來連續三年呈下降趨勢。
167,　　另外，中國2017年1月汽車行業主要經濟指標也於今日同時公佈，據中國汽車工業協會提供的數據顯示，2017年1月，受購置稅優惠政策退坡、春節有效工作日減少等因素影響，1月汽車產銷環比明顯下降；與上年同期相比，產量略降，銷量微增。1月，汽車生產236.90萬輛，環比下降22.65%，同比下降3.86%；銷售251.95萬輛，環比下降17.59%，同比增長0.23%。
168,　　2017年1月，汽車銷量排名前十位的企業依次為上汽、東風、一汽、長安、北汽、廣汽、吉利、長城、華晨和江淮，分別銷售汽車62.88萬輛、33.31萬輛、32.33萬輛、29.11萬輛、20.99萬輛、16.80萬輛、10.27萬輛、9.12萬輛、6.16萬輛和6.03萬輛，上述十家企業共銷售227萬輛，同比增長1.3%，高於行業增速1.07個百分點。佔汽車銷售總量的90.10%。
169,　　據中國汽車工業協會提供，2017年1月，中國品牌汽車銷量排名前十位的企業依次為上汽、長安、東風、吉利、長城、北汽、江淮、一汽、奇瑞和廣汽，分別銷售汽車23.25萬輛、19.12萬輛、13.21萬輛、10.27萬輛、9.12萬輛、8.79萬輛、6.03萬輛、5.77萬輛、5.62萬輛和4.63萬輛，上述十家企業共銷售105.81萬輛，佔中國品牌汽車銷售總量的83.66%。
170,　　充電樁利用率並不高
171,　　電動汽車為何會遭遇種種充電難？記者在調查中發現，充電樁的建設難、運營難、互聯互通性差是造成車主充電難的主要原因。
172,　　對於充電樁企業來說，要找到合適的地段建設充電樁並不是一件容易的事。好的地段雖然客流量大，但寸土寸金；而偏僻的地段雖然便宜，但客流量小，建成充電樁後的利用率不高。根據2016中國電動汽車百人會的報告，當前已經建成的充電場站選址大多為臨時用地，使用年限一般為2年，到期後不予續簽。土地性質的臨時性給項目的投入和長期使用帶來一定風險。
173,　　除了建設不易，充電設施不兼容也是目前存在的問題。由於運營商不同，各個充電樁使用的充電卡和收費標準也不一樣。不同運營商的充電樁，有的需要用電卡，有的則是微信支付；有的是人工服務，也有的是自助支付，彼此之間很難實現通用。
174,　　另外，充電設施企業目前大多沒有找到可持續盈利的商業模式，主要採用收服務費的方式來支撐，而充電設施屬於專業的電氣設備，運維成本居高不下。國內某大型電力企業的一位內部人士在接受記者採訪時表示，交流充電樁盈利很困難，直流充電樁則要看利用率，但目前除公交和物流車外，其他類型的充電樁利用率並不高。據有關運營商反饋，目前充電設施利用率在5%左右，大部分充電樁閒置。
175,　　充電設施監管難也是行業面對的一大問題，目前行業仍缺乏對充電樁設計、製造、建設、運維等全過程的有效監管。行業管理規範和認證體系不健全，門檻相對較低，較多企業水平參差不齊，個別企業安全意識不足，缺乏專業能力，存在一定的安全隱患。（杜娟 姚雪青 呂紹剛）
176,　　今天，北京市政府為首約科技也就是首汽約車頒發《網絡預約出租汽車經營許可證》，這也是自去年底六部委聯合發文規範網約車平臺線上服務能力認定、北京市網約車落地《實施細則》頒佈後，北京市頒發的首個網約車平臺資質。
177,　　目前，北京市交通委行政審批中心已接待包括首約科技在在內的10多家網約車平臺公司的諮詢或申請。據瞭解，部分平臺公司正在按照規定補充完善申報材料。下一步，交通運輸管理部門將按照國家和北京市有關規定，指導平臺公司辦理平臺、車輛及人員許可手續，為網約車平臺開展運營提供服務。
178,　　2016年，圍繞交通運輸部發布的《網約車經營服務管理暫行辦法》，一系列涉及網約車服務管理的國家和地方落地實施細則紛至沓來。緊隨其後的是，交通運輸部、工業和信息化部、公安部、中國人民銀行、稅務總局、國家網信辦等六部門發佈了《關於網絡預約出租汽車經營者申請線上服務能力認定工作流程的通知》(以下簡稱《通知》)，明確了網絡預約出租汽車(以下簡稱網約車)經營線上服務能力認定工作流程。《通知》規定，今後凡是申請從事網約車的企業，都應該向主管部門提交營業執照及相關認定材料，以證明該企業具備線上服務能力。《通知》的出臺，讓整個網約車市場正式進入“有法可依”的時代。(央視記者 唐穎)
179,　　在外多年來，特穆逢年過節無其他情況均返鄉。自駕是主要的交通方式，可以給家人親友帶些特產禮品，也可以將自己那些個笨重的攝影器(破)材(爛)隨車攜帶，不會成為出行負擔。雖然開車自駕相對累一些，心裡覺得還是這樣更合適一些。
180,　　本次回家較往年還有個升級，就是今年將駕駛更加寬敞的寶沃SUV BX7回家。換開大車是因為2個孕婦，SUV畢竟寬敞一些， 結果其中一個年根前就生了——家養的貓生了小寶寶。這樣一來就成為一個孕婦(媳婦兒)、一隻坐月子的貓、2個BABY貓、我和貓爸“黃三兒”。 寶沃 BX7在16年上市的時候便引得特穆關注，作為一款復活的德國老品牌，曾經也在德國有過輝煌的歷史(曾經是德國排名第二的汽車品牌)。與其他品牌車相比較，特穆更鐘情於德國高精尖的工業水平。
181,　　早上9點出發，基本上中午就能進入內蒙古境內，此前朋友聽到這個行駛時間會講北京離內蒙古不遠。事實上，在內蒙古境內的行程將近出京這段行程的3倍。這就是中國最長的省級行政區。特穆的家鄉在內蒙古西部的巴彥淖爾市，蒙古語為“有湖泊的地方”，而這裡的烏拉特大草原從戰國時起，就是北方遊牧民族的牧地。烏拉特，系蒙古族部落名  ，蒙古語意為“匠人”。來自歐洲萊茵河畔的寶沃BX7來到這裡，猶如東西方“匠心”握手。
